Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
zinc finger protein 79-like isoform X2 [Tigriopus californicus],Tigriopus californicus,350,350,88%,3e-111,50.77,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_059090889.1?report=genbank&log$=prottop&blast_rank=22&RID=UKXTYDAD016"",""XP_059090889.1"")"
fez family zinc finger protein erm-like [Hyposmocoma kahamanoa],Hyposmocoma kahamanoa,340,340,74%,3e-111,57.00,370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026317241.1?report=genbank&log$=prottop&blast_rank=23&RID=UKXTYDAD016"",""XP_026317241.1"")"
PREDICTED: fez family zinc finger protein 1-like [Papilio xuthus],Papilio xuthus,340,340,73%,3e-111,57.04,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013168598.1?report=genbank&log$=prottop&blast_rank=24&RID=UKXTYDAD016"",""XP_013168598.1"")"
fez family zinc finger protein erm-like [Danaus plexippus],Danaus plexippus,340,340,71%,4e-111,58.60,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032524866.2?report=genbank&log$=prottop&blast_rank=25&RID=UKXTYDAD016"",""XP_032524866.2"")"
zinc finger and SCAN domain-containing protein 21-like isoform X1 [Tigriopus californicus],Tigriopus californicus,349,349,88%,4e-111,50.77,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_059090888.1?report=genbank&log$=prottop&blast_rank=26&RID=UKXTYDAD016"",""XP_059090888.1"")"
fez family zinc finger protein 1-like [Amphibalanus amphitrite],Amphibalanus amphitrite,343,343,48%,5e-111,79.79,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043192608.1?report=genbank&log$=prottop&blast_rank=27&RID=UKXTYDAD016"",""XP_043192608.1"")"
fez family zinc finger protein erm [Plutella xylostella],Plutella xylostella,340,340,54%,5e-111,74.76,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011560567.3?report=genbank&log$=prottop&blast_rank=28&RID=UKXTYDAD016"",""XP_011560567.3"")"
fez family zinc finger protein 1-like [Amphibalanus amphitrite],Amphibalanus amphitrite,342,342,48%,7e-111,79.79,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043215836.1?report=genbank&log$=prottop&blast_rank=29&RID=UKXTYDAD016"",""XP_043215836.1"")"
fez family zinc finger protein erm-like [Galleria mellonella],Galleria mellonella,339,339,74%,7e-111,57.28,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052753121.1?report=genbank&log$=prottop&blast_rank=30&RID=UKXTYDAD016"",""XP_052753121.1"")"
uncharacterized protein [Choristoneura fumiferana],Choristoneura fumiferana,339,339,53%,7e-111,75.00,370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_073958745.1?report=genbank&log$=prottop&blast_rank=31&RID=UKXTYDAD016"",""XP_073958745.1"")"
fez family zinc finger protein erm-like [Vanessa tameamea],Vanessa tameamea,339,339,74%,8e-111,55.78,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026501695.1?report=genbank&log$=prottop&blast_rank=32&RID=UKXTYDAD016"",""XP_026501695.1"")"
fez family zinc finger protein erm-like [Vanessa cardui],Vanessa cardui,339,339,74%,9e-111,55.78,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046974223.1?report=genbank&log$=prottop&blast_rank=33&RID=UKXTYDAD016"",""XP_046974223.1"")"
fez family zinc finger protein 2-like [Pollicipes pollicipes],Pollicipes pollicipes,341,341,51%,2e-110,76.62,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037093467.1?report=genbank&log$=prottop&blast_rank=34&RID=UKXTYDAD016"",""XP_037093467.1"")"
fez family zinc finger protein erm-like [Zerene cesonia],Zerene cesonia,338,338,52%,2e-110,75.86,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038219181.1?report=genbank&log$=prottop&blast_rank=35&RID=UKXTYDAD016"",""XP_038219181.1"")"
"fez family zinc finger protein 1-like, partial [Pollicipes pollicipes]",Pollicipes pollicipes,336,336,51%,2e-110,76.62,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037093210.1?report=genbank&log$=prottop&blast_rank=36&RID=UKXTYDAD016"",""XP_037093210.1"")"
fez family zinc finger protein erm [Manduca sexta],Manduca sexta,338,338,71%,2e-110,58.95,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030021816.1?report=genbank&log$=prottop&blast_rank=37&RID=UKXTYDAD016"",""XP_030021816.1"")"
fez family zinc finger protein erm-like [Colias croceus],Colias croceus,338,338,52%,2e-110,75.86,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045507479.1?report=genbank&log$=prottop&blast_rank=38&RID=UKXTYDAD016"",""XP_045507479.1"")"
fez family zinc finger protein 2-like [Spodoptera litura],Spodoptera litura,338,338,52%,3e-110,76.35,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022837143.1?report=genbank&log$=prottop&blast_rank=39&RID=UKXTYDAD016"",""XP_022837143.1"")"
fez family zinc finger protein 1 [Zootermopsis nevadensis],Zootermopsis nevadensis,339,339,56%,3e-110,70.72,414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021926681.1?report=genbank&log$=prottop&blast_rank=40&RID=UKXTYDAD016"",""XP_021926681.1"")"
fez family zinc finger protein erm-like [Spodoptera frugiperda],Spodoptera frugiperda,338,338,52%,3e-110,76.35,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050555218.1?report=genbank&log$=prottop&blast_rank=41&RID=UKXTYDAD016"",""XP_050555218.1"")"
fez family zinc finger protein erm-like [Helicoverpa zea],Helicoverpa zea,338,338,52%,3e-110,75.98,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047037304.1?report=genbank&log$=prottop&blast_rank=42&RID=UKXTYDAD016"",""XP_047037304.1"")"
fez family zinc finger protein erm-like [Cylas formicarius],Cylas formicarius,337,337,88%,3e-110,49.57,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_060516240.1?report=genbank&log$=prottop&blast_rank=43&RID=UKXTYDAD016"",""XP_060516240.1"")"
fez family zinc finger protein erm-like [Trichoplusia ni],Trichoplusia ni,338,338,52%,4e-110,76.35,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026731065.1?report=genbank&log$=prottop&blast_rank=44&RID=UKXTYDAD016"",""XP_026731065.1"")"
fez family zinc finger protein 2 [Eurytemora carolleeae],Eurytemora carolleeae,340,340,70%,4e-110,59.32,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023343688.1?report=genbank&log$=prottop&blast_rank=45&RID=UKXTYDAD016"",""XP_023343688.1"")"
fez family zinc finger protein erm-like [Harmonia axyridis],Harmonia axyridis,337,337,87%,4e-110,50.71,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045482451.1?report=genbank&log$=prottop&blast_rank=46&RID=UKXTYDAD016"",""XP_045482451.1"")"
fez family zinc finger protein erm-like isoform X2 [Sitodiplosis mosellana],Sitodiplosis mosellana,343,343,51%,5e-110,76.26,540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_055300470.1?report=genbank&log$=prottop&blast_rank=47&RID=UKXTYDAD016"",""XP_055300470.1"")"
uncharacterized protein LOC142983808 [Anticarsia gemmatalis],Anticarsia gemmatalis,337,337,52%,6e-110,76.35,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_075987007.1?report=genbank&log$=prottop&blast_rank=48&RID=UKXTYDAD016"",""XP_075987007.1"")"
LOW QUALITY PROTEIN: fez family zinc finger protein erm-like [Centruroides vittatus],Centruroides vittatus,340,340,51%,9e-110,76.00,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_067123687.1?report=genbank&log$=prottop&blast_rank=49&RID=UKXTYDAD016"",""XP_067123687.1"")"
zinc finger protein Gfi-1b-like [Centruroides sculpturatus],Centruroides sculpturatus,340,340,51%,9e-110,76.00,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023215169.1?report=genbank&log$=prottop&blast_rank=50&RID=UKXTYDAD016"",""XP_023215169.1"")"



		


